數據集編號,數據集名稱（繁體）,數據集名稱（簡體）,數據集名稱（葡文）,數據集名稱（英文）,摘要（繁體）,摘要（簡體）,摘要（葡文）,摘要（英文）,數據分類（繁體）,數據分類（簡體）,數據分類（葡文）,數據分類（英文）,開放條件,數據格式,是否地理空間數據,提供部門/實體（繁體）,提供部門/實體（簡體）,提供部門/實體（葡文）,提供部門/實體（英文）,提供部門/實體聯絡電話,提供部門/實體聯絡電郵,目録API,更新頻率,下載次數,瀏覽次數,最後更新時間,首次發佈時間
fc579d6a-4605-43d0-b23c-a25d997f9e44,住宅單位每平方米平均價格,住宅单位每平方米平均价格,Preço médio por metro quadrado das fracções autónomas habitacionais,,每平方米實用面積平均成交價。,每平方米實用面積平均成交價。,Refere-se ao preço médio de transacção por metro quadrado de área útil.,,住房人口   ,住房人口   ,Habitação e População   ,,完全開放,XLSX,否,統計暨普查局,统计暨普查局,Direcção dos Serviços de Estatística e Censos,,(853) 8399 5311,info@dsec.gov.mo,https://api.data.gov.mo/document/download/fc579d6a-4605-43d0-b23c-a25d997f9e44?token=null&isNeedFile=0&lang=TC,每季,385,544,2023-08-31 12:35:52,2019-04-12 15:05:15
1c1f1003-f723-4595-b4d5-915d3375131b,導遊名單 ,导游名单,Lista dos guias turísticos ,,導遊名單,导游名单,Lista dos guias turísticos,,旅遊及博彩   ,旅游及博彩   ,Turismo e Jogo   ,,完全開放,XML,否,旅遊局,旅游局,Direcção dos Serviços de Turismo,,(853)28315566,webmaster@macaotourism.gov.mo,https://api.data.gov.mo/document/download/1c1f1003-f723-4595-b4d5-915d3375131b?token=null&isNeedFile=0&lang=TC,每日,208,490,2023-09-21 07:53:03,2019-11-14 18:30:34
712bf9fa-2ec1-4762-aa55-2cdaf23dd563,實時天氣,实时天气,Tempo Presente,,每小時整點的實況天氣，包括氣溫、濕度、風向及風速等資訊。,每小时整点的实况天气，包括气温、湿度、风向及风速等信息。,"Informações meteorológicas horárias, incluindo temperatura, humidade, direção e velocidade do vento.",,城市環境   ,城市环境   ,Ambiente Urbano   ,,完全開放,XML,否,地球物理暨氣象局,地球物理暨气象局,Direcção dos Serviços Meteorológicos e Geofísicos,,(853) 8898 6223,meteo@smg.gov.mo,https://api.data.gov.mo/document/download/712bf9fa-2ec1-4762-aa55-2cdaf23dd563?token=null&isNeedFile=0&lang=TC,按需要,0,477,2022-02-10 12:21:54,2019-07-01 14:25:43
00d591b9-781c-4583-a440-896e9e89d9fc,就業人口月工作收入中位數,就业人口月工作收入中位数,Mediana do rendimento mensal do emprego da população empregada,,在參考期內為賺取報酬、利潤或家庭收入而工作最少一小時的年齡在16歲及以上人士。包括沒有上班但與僱主保持正式工作聯繫的僱員，以及因某些原因而暫時沒有上班的公司東主或股東。為僱員的工作收入是指工作薪酬，包括薪金、佣金、貼士、超時工作報酬、獎金、津貼、雙糧、花紅、由僱主直接支付的獎賞等。為僱主及自僱人士的工作收入是指由生產總額扣除生產開支及資產折舊後的餘額。,在参考期内为赚取报酬、利润或家庭收入而工作最少一小时的年龄在16岁及以上人士。包括没有上班但与雇主保持正式工作联系的雇员，以及因某些原因而暂时没有上班的公司东主或股东。为雇员的工作收入是指工作薪酬，包括薪金、佣金、贴士、超时工作报酬、奖金、津贴、双粮、花红、由雇主直接支付的奖赏等。为雇主及自雇人士的工作收入是指由生产总额扣除生产开支及资产折旧后的余额。,"Refere-se aos indivíduos com idade igual ou superior a 16 anos que, no período de referência, tinham trabalhado pelo menos uma hora, com contrapartida de remuneração, ou com vista a um lucro ou ganho familiar. Incluem-se os trabalhadores por conta de outrem que não estavam ao serviço mas mantinham um vínculo formal de emprego com o empregador, bem como os proprietários e accionistas de empresas que não se encontravam temporariamente a trabalhar por uma razão específica. No caso dos trabalhadores por conta de outrem, o rendimento do emprego coincide com a remuneração do trabalho, incluindo o salário, as comissões, as gorjetas, as remunerações por horas extraordinárias, os prémios, os subsídios, os subsídios de férias e de Natal, as participações nos lucros, os prémios distribuídos aos trabalhadores pela entidade patronal, etc. No caso dos empregadores e dos trabalhadores por conta própria, o rendimento do emprego corresponde ao montante de produção bruta menos as despesas de produção e o valor dos activos produtivos consumidos na criação desse rendimento.",,就業   ,就业   ,Emprego   ,,完全開放,XLSX,否,統計暨普查局,统计暨普查局,Direcção dos Serviços de Estatística e Censos,,(853) 8399 5311,info@dsec.gov.mo,https://api.data.gov.mo/document/download/00d591b9-781c-4583-a440-896e9e89d9fc?token=null&isNeedFile=0&lang=TC,每季,306,470,2023-08-03 17:07:50,2019-04-12 15:05:25
6dfb981a-aa65-4b67-90bf-2b165f1c0c85,道路監控及偵測系統 ,道路监控及侦测系统 ,Sistema de vigilância e de detecção,,道路監控及偵測系統 ,道路监控及侦测系统 ,Sistema de vigilância e de detecção,,公共交通   ,公共交通   ,Transportes Públicos   ,,完全開放,XLSX,否,交通事務局,交通事务局,Direcção dos Serviços para os Assuntos de Tráfego,,88666363,info@dsat.gov.mo,https://api.data.gov.mo/document/download/6dfb981a-aa65-4b67-90bf-2b165f1c0c85?token=null&isNeedFile=0&lang=TC,每季,188,470,2022-09-01 01:00:10,2020-12-15 11:55:57
67ec26fb-a38d-4b6b-8aab-2f031f20eafa,專科衛生護理範疇按歲組劃分的急診治療人次,专科卫生护理范畴按岁组划分的急诊治疗人次,"Número de tratamentos de urgência, por grupo etário, na área de cuidados de saúde diferenciados",,專科衛生護理範疇中，按歲組劃分的急診治療人次,专科卫生护理范畴中，按岁组划分的急诊治疗人次,"Número de pessoas, por grupo etário,   atendidas nas urgências, na àrea de cuidados de saúde diferenciados",,醫療衛生   ,医疗卫生   ,Saúde   ,,完全開放,XLSX,否,衛生局,卫生局,Serviços de Saúde,,83905000,info@ssm.gov.mo,https://api.data.gov.mo/document/download/67ec26fb-a38d-4b6b-8aab-2f031f20eafa?token=null&isNeedFile=0&lang=TC,每年,146,467,2022-11-26 16:04:44,2019-11-13 09:56:04
ca5ab966-6195-4b67-beff-a66d7436b0be,水質自動監測站數據,水质自动监测站数据,Dados da estação de monitoramento da qualidade da água,,"關於水質自動監測站數據
StationCode: 
ECO - 生態區水質自動監測站
BAR - 內港水質自動監測站 
FCK - 青洲塘水質自動監測站

""--"" 表示因工程維護，沒有相關數據。
2011年至2013年期間之數據為測試性數據。","关于水质自动监测站数据
StationCode: 
ECO - 生态区水质自动监测站
BAR - 内港水质自动监测站
FCK - 青洲塘水质自动监测站

""--"" 表示因工程维护，没有相关数据。
2011年至2013年期间之数据为测试性数据。","Sobre os dados da estação de monitoramento da qualidade da água
StationCode: 
ECO -  Monitorização da qualidade da água-Estação de Monitorização Automática da Qualidade da Água das Zonas Ecológicas
BAR - Monitorização da qualidade da água-Estação de  Monitorização Automática da Qualidade da Água no Porto Interior
FCK - Monitorização da qualidade da água-Estação de Monitorização Automática da Qualidade da Água da Doca da Ilha Verde

“- -”Por motivo de realização de obras de manutenção, não é possível disponibilizar os respectivos dados.
Os dados no período compreendido entre 2011 e 2013 são obtidos através de testes.",,城市環境   ,城市环境   ,Ambiente Urbano   ,,完全開放,JSON,否,環境保護局,环境保护局,Direcção dos Serviços de Protecção Ambiental,,+853 2872 5134,info@dspa.gov.mo,https://api.data.gov.mo/document/download/ca5ab966-6195-4b67-beff-a66d7436b0be?token=null&isNeedFile=0&lang=TC,每月,0,451,2021-03-23 17:11:07,2021-03-16 11:48:11
420d8915-1599-4fee-9cba-50df76c482ee,疾病預防控制範疇十大死亡癌症個案,疾病预防控制范畴十大死亡癌症个案,"Dez primeiras causas de morte por cancro, na área de prevenção e controlo de doenças",,疾病預防控制範疇中，十大死亡癌症個案,疾病预防控制范畴中，十大死亡癌症个案,"Dez primeiras causas de morte por cancro, na área de prevenção e controlo de doenças",,醫療衛生   ,医疗卫生   ,Saúde   ,,完全開放,XLSX,否,衛生局,卫生局,Serviços de Saúde,,83905000,info@ssm.gov.mo,https://api.data.gov.mo/document/download/420d8915-1599-4fee-9cba-50df76c482ee?token=null&isNeedFile=0&lang=TC,每年,311,449,2022-11-26 13:29:48,2019-11-13 09:53:04
be8e4cc1-18e0-492d-9f24-e185698d200c,公務人員數目統計—按母語劃分,公务人员数目统计—按母语划分,Estatística do número de trabalhadores dos serviços públicos - de acordo com a língua materna,,按年以季度方式，提供按母語劃分的澳門特別行政區公共行政人力資源的公務人員數目(2015年-2020年)。不包括受私法制度規範的基金會及其他公共機構（包括澳門基金會、澳門貿易投資促進局、澳門金融管理局、澳門大學、澳門理工學院及民航局）的人員。,按年以季度方式，提供按母语划分的澳门特别行政区公共行政人力资源的公务人员数目(2015年-2020年)。不包括受私法制度规范的基金会及其他公共机构（包括澳门基金会、澳门贸易投资促进局、澳门金融管理局、澳门大学、澳门理工学院及民航局）的人员。,"Número de trabalhadores dos serviços públicos disponibilizados  trimestralmente por ano pelos recursos humanos da Administração Pública da RAEM de acordo com a língua materna(2015-2020). Não incluindo os trabalhadores das fundações e dos outros organismos públicos que se regem pelo regime de direito privado (Fundação Macau, Instituto de Promoção do Comércio e do Investimento de Macau, Autoridade Monetária de Macau, Universidade de Macau, Instituto Politécnico de Macau e Autoridade de Aviação Civil).",,行政及法律事務   ,行政及法律事务   ,Assuntos Administrativo e Jurídico   ,,完全開放,CSV,否,行政公職局,行政公职局,Direcção dos Serviços de Administração e Função Pública,,（853）88099171,dprtsp@safp.gov.mo,https://api.data.gov.mo/document/download/be8e4cc1-18e0-492d-9f24-e185698d200c?token=null&isNeedFile=0&lang=TC,每季,172,437,2023-07-13 14:54:38,2019-12-16 15:23:22
094324ef-45cb-4d5f-9004-77e6d82c1042,新成立公司,新成立公司,Sociedades constituídas,,由一名或多名股東組織而成，並按法定程序完成註冊及登記之公司。,由一名或多名股东组织而成，并按法定程序完成注册及登记之公司。,"É toda a sociedade composta por um ou mais sócios, que concluiu o processo de inscrição e de registo, de acordo com a lei.",,創業及營商   ,创业及营商   ,Empreendedorismo e Negócios   ,,完全開放,XLSX,否,統計暨普查局,统计暨普查局,Direcção dos Serviços de Estatística e Censos,,(853) 8399 5311,info@dsec.gov.mo,https://api.data.gov.mo/document/download/094324ef-45cb-4d5f-9004-77e6d82c1042?token=null&isNeedFile=0&lang=TC,每季,220,367,2023-08-31 12:35:16,2019-05-09 11:25:43
111c078e-729d-47af-b5f0-edd03444590e,整體住宅樓價指數,整体住宅楼价指数,Índice global de preços da habitação,,反映參考期與基期之間整體住宅單位價格的變動。,反映參考期與基期之間整體住宅單位價格的變動。,Reflecte a variação de preços das fracções autónomas habitacionais globais entre o período de referência e o período base. ,,住房人口   ,住房人口   ,Habitação e População   ,,完全開放,XLSX,否,統計暨普查局,统计暨普查局,Direcção dos Serviços de Estatística e Censos,,(853) 8399 5311,info@dsec.gov.mo,https://api.data.gov.mo/document/download/111c078e-729d-47af-b5f0-edd03444590e?token=null&isNeedFile=0&lang=TC,每季,240,348,2023-08-31 12:35:18,2019-05-09 11:24:59
15044781-1752-4f98-b87e-508208d70408,熱帶氣旋警告,热带气旋警告,Tempestade Tropical,,提供熱帶氣旋警告信號、熱帶氣旋概況及未來動態等資訊。,提供热带气旋警告信号、热带气旋概况及未来动态等信息。,"Avisos de tempestades tropicais, incluindo situação presente e informações de previsão.",,城市環境   ,城市环境   ,Ambiente Urbano   ,,完全開放,XML,否,地球物理暨氣象局,地球物理暨气象局,Direcção dos Serviços Meteorológicos e Geofísicos,,(853) 8898 6223,meteo@smg.gov.mo,https://api.data.gov.mo/document/download/15044781-1752-4f98-b87e-508208d70408?token=null&isNeedFile=0&lang=TC,按需要,0,325,2022-02-10 12:23:51,2019-07-02 16:48:18
f9aeadd6-efb8-47ac-920a-946602453733,澳門國際機場飛機起降架次,澳门国际机场飞机起降架次,Número de Movimentos no Aeroporto Internacional de Macau,,按年提供澳門國際機場航班的起降架次,按年提供澳门国际机场航班的起降架次,"Fornecer anualmente o número de movimentos no Aeroporto Internacional de Macau
",,公共交通   ,公共交通   ,Transportes Públicos   ,,完全開放,JSON,否,民航局,民航局,Autoridade de Aviação Civil,,(853) 28511213,aacm@aacm.gov.mo,https://api.data.gov.mo/document/download/f9aeadd6-efb8-47ac-920a-946602453733?token=null&isNeedFile=0&lang=TC,每月,142,306,2023-03-24 12:48:25,2020-09-15 12:12:55
0c3034c7-c756-4ef1-bc12-ce91bf934ef6,澳門特區居民身份證持有人統計,澳门特区居民身份证持有人统计,Estatística dos titulares do BIR da RAEM,,居民身份證持證人累計數目,居民身份证持证人累计数目,Número cumulativo de titulares do BIR da RAEM,,住房人口   ,住房人口   ,Habitação e População   ,,完全開放,XLSX,否,身份證明局,身份证明局,Direcção dos Serviços de Identificação,,(853) 28370777,info@dsi.gov.mo,https://api.data.gov.mo/document/download/0c3034c7-c756-4ef1-bc12-ce91bf934ef6?token=null&isNeedFile=0&lang=TC,每年,198,287,2023-02-20 11:08:14,2020-08-24 10:56:49
6a965f6f-40fc-4aca-b83e-28a8cfed21ae,體育設施,体育设施,Instalações esportivas,,體育設施,体育设施,Instalações esportivas,,體育   ,体育   ,Desporto   ,,完全開放,XLSX,否,體育局,体育局,Instituto do Desporto,,28580762,info@sport.gov.mo,https://api.data.gov.mo/document/download/6a965f6f-40fc-4aca-b83e-28a8cfed21ae?token=null&isNeedFile=0&lang=TC,每年,150,286,2020-10-30 17:07:04,2020-10-28 15:59:42
2f17ecdf-4c81-4f6f-8384-4d52d428a125,公務人員招聘－統一管理開考綜合能力評估程序的數據資料,公务人员招聘－统一管理开考综合能力评估程序的数据资料,Dados sobre etapas de avaliação de competências integradas de concursos de gestão uniformizada - Recrutamento dos tabalhadores dos serviços públicos,,"根據第14/2016號行政法規，有關公務人員招聘統一管理開考綜合能力評估程序的數據資料
","根据第14/2016号行政法规，有关公务人员招聘统一管理开考综合能力评估程序的数据资料
","Dados sobre o recrutamento dos tabalhadores dos serviços públicos, nos termos do RA n.º 14/2016, referentes às etapas de avaliação de competências integradas dos concursos de gestão uniformizada. ",,行政及法律事務   ,行政及法律事务   ,Assuntos Administrativo e Jurídico   ,,完全開放,XLSX,否,行政公職局,行政公职局,Direcção dos Serviços de Administração e Função Pública,,（853）88668866,dprtsp@safp.gov.mo,https://api.data.gov.mo/document/download/2f17ecdf-4c81-4f6f-8384-4d52d428a125?token=null&isNeedFile=0&lang=TC,按需要,176,281,2020-07-02 17:44:27,2019-10-22 12:32:26
725a1e1b-1bfc-4f3b-93c4-d72227034447,旅客平均逗留時間,旅客平均逗留时间,Período médio de permanência dos visitantes,,根據旅客出入境日期及時間計算其逗留時間。,根據旅客出入境日期及時間計算其逗留時間。,Calcula-se o período de permanência com base nas datas e horas de entrada e de saída dos visitantes.,,旅遊及博彩   ,旅游及博彩   ,Turismo e Jogo   ,,完全開放,XLSX,否,統計暨普查局,统计暨普查局,Direcção dos Serviços de Estatística e Censos,,(853) 8399 5311,info@dsec.gov.mo,https://api.data.gov.mo/document/download/725a1e1b-1bfc-4f3b-93c4-d72227034447?token=null&isNeedFile=0&lang=TC,每月,190,276,2023-08-31 12:36:11,2019-06-12 12:39:47
8142c05e-818a-478a-9256-4ecd494d3f87,澳門垃圾焚化中心,澳门垃圾焚化中心,Dados de central de incineração de resíduos sólidos de Macau,,關於澳门垃圾焚化中心數據,关于澳门垃圾焚化中心數據,Sobre os  dados de central de incineração de resíduos sólidos de Macau,,城市環境   ,城市环境   ,Ambiente Urbano   ,,完全開放,JSON,否,環境保護局,环境保护局,Direcção dos Serviços de Protecção Ambiental,,+853 2872 5134,info@dspa.gov.mo,https://api.data.gov.mo/document/download/8142c05e-818a-478a-9256-4ecd494d3f87?token=null&isNeedFile=0&lang=TC,每月,0,267,2021-03-23 17:10:53,2020-12-17 15:20:59
5666b930-8b8d-4022-bc09-bb27bd1aa205,受私法制度規範的基金會及其他公共機構的人員數目統計,受私法制度规范的基金会及其他公共机构的人员数目统计,Estatística do número de trabalhadores das fundações ou de outras entidades públicas que se regem pelo regime de direito privado,,按年以季度方式提供澳門特別行政區公共行政人力資源中受私法制度規範的基金會及其他公共機構的人員數目。,按年以季度方式提供澳门特别行政区公共行政人力资源中受私法制度规范的基金会及其他公共机构的人员数目。,Número de trabalhadores das fundações ou de outras entidades públicas que se regem pelo regime de direito privado disponibilizados trimestralmente por ano pelos recursos humanos da Administração Pública da RAEM ,,行政及法律事務   ,行政及法律事务   ,Assuntos Administrativo e Jurídico   ,,完全開放,CSV,否,行政公職局,行政公职局,Direcção dos Serviços de Administração e Função Pública,,（853）88099171,dprtsp@safp.gov.mo,https://api.data.gov.mo/document/download/5666b930-8b8d-4022-bc09-bb27bd1aa205?token=null&isNeedFile=0&lang=TC,每季,126,262,2023-07-13 14:54:37,2019-12-16 15:25:00
6c4ad68d-ac63-4c38-83fd-fd41cb3a98f9,酒店參考房價,酒店参考房价,Taxa Referencial de Hotel,,酒店參考房價,酒店参考房价,Taxa Referencial de Hotel,,旅遊及博彩   ,旅游及博彩   ,Turismo e Jogo   ,,完全開放,XML,否,旅遊局,旅游局,Direcção dos Serviços de Turismo,,(853)28315566,herbert@macaotourism.gov.mo,https://api.data.gov.mo/document/download/6c4ad68d-ac63-4c38-83fd-fd41cb3a98f9?token=null&isNeedFile=0&lang=TC,每日,451,261,2023-09-21 08:06:02,2020-11-11 11:49:14
aae52fd8-3d52-47ae-9b0d-bc77ec6ac232,旅遊快訊,旅游快讯,What's On,,介紹澳門每月舉行的節慶活動、表演、展覽等。,介绍澳门每月举行的节庆活动、表演、展览等。,"Apresentação em chinês tradicional, chinês simplificado e inglês as actividades de eventos e festividades, actuações, exposições entre outros.
",,旅遊及博彩   ,旅游及博彩   ,Turismo e Jogo   ,,完全開放,RDF,否,旅遊局,旅游局,Direcção dos Serviços de Turismo,,(853)28315566,webmaster@macaotourism.gov.mo,https://api.data.gov.mo/document/download/aae52fd8-3d52-47ae-9b0d-bc77ec6ac232?token=null&isNeedFile=0&lang=TC,每月,0,258,2020-05-29 11:34:58,2019-11-11 12:33:15
8d089bb5-5b2d-4b56-9f47-efbc35fe8870,空氣污染物實測濃度,空气污染物实测浓度,Concentração dos poluentes,,每小時錄得的空氣污染物濃度。,每小时录得的空气污染物浓度。,Registos horários de concentração dos poluentes. ,,城市環境   ,城市环境   ,Ambiente Urbano   ,,完全開放,XML,否,地球物理暨氣象局,地球物理暨气象局,Direcção dos Serviços Meteorológicos e Geofísicos,,(853) 8898 6223,meteo@smg.gov.mo,https://api.data.gov.mo/document/download/8d089bb5-5b2d-4b56-9f47-efbc35fe8870?token=null&isNeedFile=0&lang=TC,按需要,0,257,2022-02-10 12:21:39,2019-07-02 10:51:16
5eba282f-a1f9-4f68-9b80-7901e56f7f06,無人機活動,无人机活动,Atividades de drones,,按季度提供本澳無人機活動數據,按季度提供本澳无人机活动数据,Fornecer dados de atividades de drones em Macau por trimestre,,公共交通   ,公共交通   ,Transportes Públicos   ,,完全開放,XLSX,否,民航局,民航局,Autoridade de Aviação Civil,,(853) 28511213,aacm@aacm.gov.mo,https://api.data.gov.mo/document/download/5eba282f-a1f9-4f68-9b80-7901e56f7f06?token=null&isNeedFile=0&lang=TC,每季,156,249,2023-07-04 15:27:52,2020-09-21 15:14:12
